Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:16:21 (+0000),40.25,46.16
2018/06/20-20:16:22 (+0000),40.25,45.622
2018/06/20-20:16:23 (+0000),40.25,45.622
2018/06/20-20:16:24 (+0000),40.312,46.16
2018/06/20-20:16:25 (+0000),40.312,46.16
2018/06/20-20:16:26 (+0000),40.312,45.622
2018/06/20-20:16:27 (+0000),40.312,46.16
2018/06/20-20:16:27 (+0000),40.312,46.16
2018/06/20-20:16:28 (+0000),40.375,46.16
2018/06/20-20:16:29 (+0000),40.375,45.622
2018/06/20-20:16:30 (+0000),40.375,46.16
2018/06/20-20:16:31 (+0000),40.375,46.16
2018/06/20-20:16:32 (+0000),40.375,45.622
2018/06/20-20:16:33 (+0000),40.437,45.622
2018/06/20-20:16:34 (+0000),40.437,46.16
2018/06/20-20:16:34 (+0000),40.437,45.622
2018/06/20-20:16:35 (+0000),40.437,46.16
2018/06/20-20:16:36 (+0000),40.437,46.16
2018/06/20-20:16:37 (+0000),40.437,45.622
2018/06/20-20:16:38 (+0000),40.5,46.16
2018/06/20-20:16:39 (+0000),40.5,45.622
2018/06/20-20:16:40 (+0000),40.5,45.622
2018/06/20-20:16:41 (+0000),40.5,45.622
2018/06/20-20:16:41 (+0000),40.562,46.16
2018/06/20-20:16:42 (+0000),40.5,45.622
2018/06/20-20:16:43 (+0000),40.562,46.16
2018/06/20-20:16:44 (+0000),40.562,45.622
2018/06/20-20:16:45 (+0000),40.562,46.16
2018/06/20-20:16:46 (+0000),40.562,46.16
2018/06/20-20:16:47 (+0000),40.562,46.16
2018/06/20-20:16:48 (+0000),40.562,46.16
2018/06/20-20:16:49 (+0000),40.625,46.16
2018/06/20-20:16:49 (+0000),40.625,46.16
2018/06/20-20:16:50 (+0000),40.625,46.16
2018/06/20-20:16:51 (+0000),40.625,46.16
2018/06/20-20:16:52 (+0000),40.625,45.622
2018/06/20-20:16:53 (+0000),40.625,46.16
2018/06/20-20:16:54 (+0000),40.687,46.16
2018/06/20-20:16:55 (+0000),40.687,46.16
2018/06/20-20:16:56 (+0000),40.687,45.084
2018/06/20-20:16:56 (+0000),40.687,46.16
2018/06/20-20:16:57 (+0000),40.687,46.16
2018/06/20-20:16:58 (+0000),40.687,45.622
2018/06/20-20:16:59 (+0000),40.75,46.16
2018/06/20-20:17:00 (+0000),40.75,46.16
2018/06/20-20:17:01 (+0000),40.75,46.16
2018/06/20-20:17:02 (+0000),40.75,46.16
2018/06/20-20:17:03 (+0000),40.75,46.16
2018/06/20-20:17:03 (+0000),40.75,46.16
2018/06/20-20:17:04 (+0000),40.812,46.16
2018/06/20-20:17:05 (+0000),40.812,46.16
2018/06/20-20:17:06 (+0000),40.812,46.16
2018/06/20-20:17:07 (+0000),40.812,46.16
2018/06/20-20:17:08 (+0000),40.812,46.16
2018/06/20-20:17:09 (+0000),40.812,46.16
2018/06/20-20:17:10 (+0000),40.812,46.16
2018/06/20-20:17:11 (+0000),40.875,46.16
2018/06/20-20:17:11 (+0000),40.875,46.16
2018/06/20-20:17:12 (+0000),40.875,46.16
2018/06/20-20:17:13 (+0000),40.875,46.16
2018/06/20-20:17:14 (+0000),40.875,46.16
2018/06/20-20:17:15 (+0000),40.937,46.698
2018/06/20-20:17:16 (+0000),40.937,46.16
2018/06/20-20:17:17 (+0000),40.937,46.698
2018/06/20-20:17:18 (+0000),40.937,46.16
2018/06/20-20:17:18 (+0000),40.937,46.16
2018/06/20-20:17:19 (+0000),40.937,46.16
