Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:30:40 (+0000),48.75,49.388
2018/06/20-20:30:41 (+0000),48.75,49.388
2018/06/20-20:30:41 (+0000),48.75,49.388
2018/06/20-20:30:42 (+0000),48.75,49.388
2018/06/20-20:30:43 (+0000),48.75,49.388
2018/06/20-20:30:44 (+0000),48.75,49.388
2018/06/20-20:30:45 (+0000),48.75,49.388
2018/06/20-20:30:46 (+0000),48.75,49.388
2018/06/20-20:30:47 (+0000),48.812,49.388
2018/06/20-20:30:48 (+0000),48.812,49.388
2018/06/20-20:30:49 (+0000),48.812,48.312
2018/06/20-20:30:49 (+0000),48.812,49.388
2018/06/20-20:30:50 (+0000),48.812,49.388
2018/06/20-20:30:51 (+0000),48.812,48.85
2018/06/20-20:30:52 (+0000),48.812,49.388
2018/06/20-20:30:53 (+0000),48.687,49.388
2018/06/20-20:30:54 (+0000),48.5,49.388
2018/06/20-20:30:55 (+0000),48.25,49.388
2018/06/20-20:30:56 (+0000),48.062,49.388
2018/06/20-20:30:56 (+0000),47.875,49.388
2018/06/20-20:30:57 (+0000),47.687,49.388
2018/06/20-20:30:58 (+0000),47.5,49.388
2018/06/20-20:30:59 (+0000),47.312,49.388
2018/06/20-20:31:00 (+0000),47.187,49.388
2018/06/20-20:31:01 (+0000),47,48.85
2018/06/20-20:31:02 (+0000),46.875,49.388
2018/06/20-20:31:03 (+0000),46.687,49.388
2018/06/20-20:31:03 (+0000),46.562,49.388
2018/06/20-20:31:04 (+0000),46.437,49.388
2018/06/20-20:31:05 (+0000),46.312,49.388
2018/06/20-20:31:06 (+0000),46.187,49.388
2018/06/20-20:31:07 (+0000),46.062,49.388
2018/06/20-20:31:08 (+0000),45.937,49.388
2018/06/20-20:31:09 (+0000),45.812,48.85
2018/06/20-20:31:10 (+0000),45.75,49.388
2018/06/20-20:31:11 (+0000),45.625,49.388
2018/06/20-20:31:11 (+0000),45.562,49.388
2018/06/20-20:31:12 (+0000),45.437,49.388
2018/06/20-20:31:13 (+0000),45.375,49.388
2018/06/20-20:31:14 (+0000),45.25,49.388
2018/06/20-20:31:15 (+0000),45.187,49.388
2018/06/20-20:31:16 (+0000),45.125,49.388
2018/06/20-20:31:17 (+0000),45,49.388
2018/06/20-20:31:18 (+0000),44.937,49.388
